;case_id;activity;timestamp;source
0;2;Prepare implements;2019-01-16;"[""[\""Operator and Patient Preparation\""]""]"
1;2;Prepare implements;2019-01-16;"[""[\""Operator and Patient Preparation\""]""]"
2;2;Hand washing;2019-01-16;"[""[\""Operator and Patient Preparation\""]""]"
3;2;Hand washing;2019-01-16;"[""[\""Operator and Patient Preparation\""]""]"
4;2;Get in sterile clothes;2019-01-16;"[""[\""Operator and Patient Preparation\""]""]"
5;2;Get in sterile clothes;2019-01-16;"[""[\""Operator and Patient Preparation\""]""]"
6;2;Prepare implements;2019-01-16;"[""[\""Operator and Patient Preparation\""]""]"
7;2;Prepare implements;2019-01-16;"[""[\""Operator and Patient Preparation\""]""]"
8;2;Clean puncture area;2019-01-16;"[""[\""Operator and Patient Preparation\""]""]"
9;2;Clean puncture area;2019-01-16;"[""[\""Operator and Patient Preparation\""]""]"
10;2;Drap puncture area;2019-01-16;"[""[\""Operator and Patient Preparation\""]""]"
11;2;Drap puncture area;2019-01-16;"[""[\""Operator and Patient Preparation\""]""]"
12;2;Prepare implements;2019-01-16;"[""[\""Operator and Patient Preparation\""]""]"
13;2;Prepare implements;2019-01-16;"[""[\""Operator and Patient Preparation\""]""]"
14;2;Gel in probe;2019-01-16;"[""[\""Ultrasound Preparation\""]""]"
15;2;Gel in probe;2019-01-16;"[""[\""Ultrasound Preparation\""]""]"
16;2;Cover probe;2019-01-16;"[""[\""Ultrasound Preparation\""]""]"
17;2;Cover probe;2019-01-16;"[""[\""Ultrasound Preparation\""]""]"
18;2;Put sterile gel;2019-01-16;"[""[\""Ultrasound Preparation\""]""]"
19;2;Put sterile gel;2019-01-16;"[""[\""Ultrasound Preparation\""]""]"
20;2;Ultrasound configuration;2019-01-17;"[""[\""Ultrasound Preparation\""]""]"
21;2;Ultrasound configuration;2019-01-17;"[""[\""Ultrasound Preparation\""]""]"
22;2;Anatomic identification;2019-01-17;"[""[\""Locate Structures\""]""]"
23;2;Anatomic identification;2019-01-17;"[""[\""Locate Structures\""]""]"
24;2;Compression identification;2019-01-17;"[""[\""Locate Structures\""]""]"
25;2;Compression identification;2019-01-17;"[""[\""Locate Structures\""]""]"
26;2;Anesthetize;2019-01-17;"[""[\""Venous puncture\""]""]"
27;2;Anesthetize;2019-01-17;"[""[\""Venous puncture\""]""]"
28;2;Prepare implements;2019-01-17;"[""[\""Operator and Patient Preparation\""]""]"
29;2;Prepare implements;2019-01-17;"[""[\""Operator and Patient Preparation\""]""]"
30;2;Puncture;2019-01-17;"[""[\""Venous puncture\""]""]"
31;2;Drop probe;2019-01-17;"[""[\""Install Guidewire\""]""]"
32;2;Puncture;2019-01-17;"[""[\""Venous puncture\""]""]"
33;2;Drop probe;2019-01-17;"[""[\""Install Guidewire\""]""]"
34;2;Blood return;2019-01-17;"[""[\""Venous puncture\""]""]"
35;2;Blood return;2019-01-17;"[""[\""Venous puncture\""]""]"
36;2;Remove syringe;2019-01-17;"[""[\""Install Guidewire\""]""]"
