;case_id;activity;timestamp;source
0;0;Create Fine;2006-07-23 22:00:00 UTC;"[""561""]"
1;0;Send Fine;2006-12-04 23:00:00 UTC;"[""Send Fine""]"
2;1;Create Fine;2006-08-01 22:00:00 UTC;"[""561""]"
3;1;Send Fine;2006-12-11 23:00:00 UTC;"[""Send Fine""]"
4;1;Insert Fine Notification;2007-01-14 23:00:00 UTC;"[""Insert Fine Notification""]"
5;1;Add penalty;2007-03-15 23:00:00 UTC;"[""Add penalty""]"
6;1;Send for Credit Collection;2009-03-29 22:00:00 UTC;"[""Send for Credit Collection""]"
7;2;Create Fine;2007-03-08 23:00:00 UTC;"[""561""]"
8;2;Send Fine;2007-07-16 22:00:00 UTC;"[""Send Fine""]"
9;2;Insert Fine Notification;2007-08-01 22:00:00 UTC;"[""Insert Fine Notification""]"
10;2;Add penalty;2007-09-30 22:00:00 UTC;"[""Add penalty""]"
11;2;Payment;2008-09-08 22:00:00 UTC;"[""Payment""]"
12;3;Create Fine;2007-03-18 23:00:00 UTC;"[""537""]"
13;3;Send Fine;2007-07-16 22:00:00 UTC;"[""Send Fine""]"
14;3;Insert Fine Notification;2007-07-24 22:00:00 UTC;"[""Insert Fine Notification""]"
15;3;Insert Date Appeal to Prefecture;2007-08-01 22:00:00 UTC;"[""Insert Date Appeal to Prefecture""]"
16;3;Add penalty;2007-09-22 22:00:00 UTC;"[""Add penalty""]"
17;3;Send Appeal to Prefecture;2007-09-23 22:00:00 UTC;"[""Send Appeal to Prefecture""]"
18;4;Create Fine;2007-03-19 23:00:00 UTC;"[""537""]"
19;4;Send Fine;2007-07-16 22:00:00 UTC;"[""Send Fine""]"
20;4;Insert Fine Notification;2007-07-23 22:00:00 UTC;"[""Insert Fine Notification""]"
21;4;Add penalty;2007-09-21 22:00:00 UTC;"[""Add penalty""]"
22;4;Send for Credit Collection;2009-03-29 22:00:00 UTC;"[""Send for Credit Collection""]"
23;5;Create Fine;2007-03-19 23:00:00 UTC;"[""537""]"
24;5;Payment;2007-03-20 23:00:00 UTC;"[""Payment""]"
25;6;Create Fine;2007-03-19 23:00:00 UTC;"[""537""]"
26;6;Payment;2007-03-22 23:00:00 UTC;"[""Payment""]"
27;7;Create Fine;2007-03-19 23:00:00 UTC;"[""537""]"
28;7;Send Fine;2007-07-16 22:00:00 UTC;"[""Send Fine""]"
29;7;Insert Fine Notification;2007-08-01 22:00:00 UTC;"[""Insert Fine Notification""]"
30;7;Add penalty;2007-09-30 22:00:00 UTC;"[""Add penalty""]"
31;7;Send for Credit Collection;2009-03-29 22:00:00 UTC;"[""Send for Credit Collection""]"
32;8;Create Fine;2007-03-19 23:00:00 UTC;"[""537""]"
33;8;Send Fine;2007-07-16 22:00:00 UTC;"[""Send Fine""]"
34;8;Insert Fine Notification;2007-07-22 22:00:00 UTC;"[""Insert Fine Notification""]"
35;8;Add penalty;2007-09-20 22:00:00 UTC;"[""Add penalty""]"
36;8;Payment;2007-09-30 22:00:00 UTC;"[""Payment""]"
37;8;Payment;2007-10-30 23:00:00 UTC;"[""Payment""]"
38;9;Create Fine;2006-08-01 22:00:00 UTC;"[""550""]"
39;9;Send Fine;2006-12-11 23:00:00 UTC;"[""Send Fine""]"
40;9;Insert Fine Notification;2006-12-30 23:00:00 UTC;"[""Insert Fine Notification""]"
41;9;Add penalty;2007-02-28 23:00:00 UTC;"[""Add penalty""]"
42;9;Send for Credit Collection;2009-03-29 22:00:00 UTC;"[""Send for Credit Collection""]"
43;10;Create Fine;2007-03-19 23:00:00 UTC;"[""537""]"
44;10;Send Fine;2007-07-16 22:00:00 UTC;"[""Send Fine""]"
45;10;Insert Fine Notification;2007-07-22 22:00:00 UTC;"[""Insert Fine Notification""]"
46;10;Add penalty;2007-09-20 22:00:00 UTC;"[""Add penalty""]"
47;10;Send for Credit Collection;2009-03-29 22:00:00 UTC;"[""Send for Credit Collection""]"
48;11;Create Fine;2007-03-20 23:00:00 UTC;"[""537""]"
49;11;Send Fine;2007-09-28 22:00:00 UTC;"[""Send Fine""]"
50;11;Insert Fine Notification;2007-10-11 22:00:00 UTC;"[""Insert Fine Notification""]"
51;11;Add penalty;2007-12-10 23:00:00 UTC;"[""Add penalty""]"
52;11;Send for Credit Collection;2009-03-29 22:00:00 UTC;"[""Send for Credit Collection""]"
53;12;Create Fine;2007-03-20 23:00:00 UTC;"[""537""]"
54;12;Send Fine;2007-08-01 22:00:00 UTC;"[""Send Fine""]"
55;13;Create Fine;2007-03-20 23:00:00 UTC;"[""537""]"
56;13;Send Fine;2007-08-01 22:00:00 UTC;"[""Send Fine""]"
57;13;Insert Fine Notification;2007-08-18 22:00:00 UTC;"[""Insert Fine Notification""]"
58;13;Add penalty;2007-10-17 22:00:00 UTC;"[""Add penalty""]"
59;13;Send for Credit Collection;2009-03-29 22:00:00 UTC;"[""Send for Credit Collection""]"
60;14;Create Fine;2007-03-21 23:00:00 UTC;"[""537""]"
61;14;Send Fine;2007-08-01 22:00:00 UTC;"[""Send Fine""]"
62;14;Insert Fine Notification;2007-08-08 22:00:00 UTC;"[""Insert Fine Notification""]"
63;14;Add penalty;2007-10-07 22:00:00 UTC;"[""Add penalty""]"
64;14;Payment;2007-10-07 22:00:00 UTC;"[""Payment""]"
65;15;Create Fine;2007-03-21 23:00:00 UTC;"[""537""]"
66;15;Send Fine;2007-07-16 22:00:00 UTC;"[""Send Fine""]"
67;15;Insert Fine Notification;2007-07-22 22:00:00 UTC;"[""Insert Fine Notification""]"
68;15;Add penalty;2007-09-20 22:00:00 UTC;"[""Add penalty""]"
69;15;Send for Credit Collection;2009-03-29 22:00:00 UTC;"[""Send for Credit Collection""]"
70;16;Create Fine;2006-08-04 22:00:00 UTC;"[""550""]"
71;16;Send Fine;2006-12-11 23:00:00 UTC;"[""Send Fine""]"
72;16;Insert Fine Notification;2007-01-02 23:00:00 UTC;"[""Insert Fine Notification""]"
73;16;Add penalty;2007-03-03 23:00:00 UTC;"[""Add penalty""]"
74;16;Send for Credit Collection;2009-03-29 22:00:00 UTC;"[""Send for Credit Collection""]"
75;17;Create Fine;2007-03-21 23:00:00 UTC;"[""537""]"
76;17;Send Fine;2007-08-01 22:00:00 UTC;"[""Send Fine""]"
77;17;Insert Fine Notification;2007-08-08 22:00:00 UTC;"[""Insert Fine Notification""]"
78;17;Add penalty;2007-10-07 22:00:00 UTC;"[""Add penalty""]"
79;17;Send for Credit Collection;2009-03-29 22:00:00 UTC;"[""Send for Credit Collection""]"
80;18;Create Fine;2007-03-21 23:00:00 UTC;"[""537""]"
81;18;Payment;2007-03-27 22:00:00 UTC;"[""Payment""]"
82;19;Create Fine;2007-03-21 23:00:00 UTC;"[""537""]"
83;19;Send Fine;2007-07-16 22:00:00 UTC;"[""Send Fine""]"
84;19;Insert Fine Notification;2007-07-24 22:00:00 UTC;"[""Insert Fine Notification""]"
85;19;Add penalty;2007-09-22 22:00:00 UTC;"[""Add penalty""]"
86;19;Send for Credit Collection;2009-03-29 22:00:00 UTC;"[""Send for Credit Collection""]"
87;20;Create Fine;2007-03-21 23:00:00 UTC;"[""537""]"
88;20;Payment;2007-03-25 22:00:00 UTC;"[""Payment""]"
89;21;Create Fine;2007-03-21 23:00:00 UTC;"[""537""]"
90;21;Send Fine;2007-08-01 22:00:00 UTC;"[""Send Fine""]"
91;21;Insert Fine Notification;2007-08-08 22:00:00 UTC;"[""Insert Fine Notification""]"
92;21;Add penalty;2007-10-07 22:00:00 UTC;"[""Add penalty""]"
93;21;Send for Credit Collection;2009-03-29 22:00:00 UTC;"[""Send for Credit Collection""]"
94;22;Create Fine;2007-03-21 23:00:00 UTC;"[""537""]"
95;22;Send Fine;2007-07-16 22:00:00 UTC;"[""Send Fine""]"
96;22;Insert Fine Notification;2007-07-24 22:00:00 UTC;"[""Insert Fine Notification""]"
97;22;Add penalty;2007-09-22 22:00:00 UTC;"[""Add penalty""]"
98;22;Send for Credit Collection;2009-03-29 22:00:00 UTC;"[""Send for Credit Collection""]"
99;23;Create Fine;2007-03-21 23:00:00 UTC;"[""537""]"
100;23;Payment;2007-04-09 22:00:00 UTC;"[""Payment""]"
101;24;Create Fine;2007-03-21 23:00:00 UTC;"[""537""]"
102;24;Payment;2007-03-25 22:00:00 UTC;"[""Payment""]"
103;25;Create Fine;2007-03-22 23:00:00 UTC;"[""537""]"
104;25;Send Fine;2007-08-01 22:00:00 UTC;"[""Send Fine""]"
105;25;Insert Fine Notification;2007-08-18 22:00:00 UTC;"[""Insert Fine Notification""]"
106;25;Add penalty;2007-10-17 22:00:00 UTC;"[""Add penalty""]"
107;25;Payment;2008-09-12 22:00:00 UTC;"[""Payment""]"
108;26;Create Fine;2007-03-22 23:00:00 UTC;"[""537""]"
109;26;Send Fine;2007-08-01 22:00:00 UTC;"[""Send Fine""]"
110;26;Insert Fine Notification;2007-08-19 22:00:00 UTC;"[""Insert Fine Notification""]"
111;26;Add penalty;2007-10-18 22:00:00 UTC;"[""Add penalty""]"
112;26;Send for Credit Collection;2009-03-29 22:00:00 UTC;"[""Send for Credit Collection""]"
113;27;Create Fine;2007-03-23 23:00:00 UTC;"[""537""]"
114;27;Send Fine;2007-08-01 22:00:00 UTC;"[""Send Fine""]"
115;28;Create Fine;2007-03-23 23:00:00 UTC;"[""537""]"
116;28;Send Fine;2007-08-01 22:00:00 UTC;"[""Send Fine""]"
117;28;Insert Fine Notification;2007-08-08 22:00:00 UTC;"[""Insert Fine Notification""]"
118;28;Add penalty;2007-10-07 22:00:00 UTC;"[""Add penalty""]"
119;28;Payment;2007-10-22 22:00:00 UTC;"[""Payment""]"
120;28;Payment;2007-11-12 23:00:00 UTC;"[""Payment""]"
121;29;Create Fine;2007-03-23 23:00:00 UTC;"[""537""]"
122;29;Send Fine;2007-08-01 22:00:00 UTC;"[""Send Fine""]"
123;29;Insert Fine Notification;2007-08-09 22:00:00 UTC;"[""Insert Fine Notification""]"
124;29;Add penalty;2007-10-08 22:00:00 UTC;"[""Add penalty""]"
125;29;Payment;2008-10-09 22:00:00 UTC;"[""Payment""]"
126;30;Create Fine;2007-03-23 23:00:00 UTC;"[""537""]"
127;30;Send Fine;2007-08-01 22:00:00 UTC;"[""Send Fine""]"
128;30;Insert Fine Notification;2007-08-08 22:00:00 UTC;"[""Insert Fine Notification""]"
129;30;Add penalty;2007-10-07 22:00:00 UTC;"[""Add penalty""]"
130;30;Send for Credit Collection;2009-03-29 22:00:00 UTC;"[""Send for Credit Collection""]"
131;31;Create Fine;2007-03-23 23:00:00 UTC;"[""537""]"
132;31;Send Fine;2007-08-01 22:00:00 UTC;"[""Send Fine""]"
133;32;Create Fine;2007-03-27 22:00:00 UTC;"[""537""]"
134;32;Send Fine;2007-07-16 22:00:00 UTC;"[""Send Fine""]"
135;32;Insert Fine Notification;2007-08-04 22:00:00 UTC;"[""Insert Fine Notification""]"
136;32;Add penalty;2007-10-03 22:00:00 UTC;"[""Add penalty""]"
137;32;Send for Credit Collection;2009-03-29 22:00:00 UTC;"[""Send for Credit Collection""]"
138;33;Create Fine;2007-03-27 22:00:00 UTC;"[""537""]"
139;33;Payment;2007-04-01 22:00:00 UTC;"[""Payment""]"
140;34;Create Fine;2007-03-27 22:00:00 UTC;"[""537""]"
141;34;Payment;2007-03-29 22:00:00 UTC;"[""Payment""]"
142;35;Create Fine;2007-03-27 22:00:00 UTC;"[""537""]"
143;35;Send Fine;2007-08-01 22:00:00 UTC;"[""Send Fine""]"
144;35;Insert Fine Notification;2007-08-27 22:00:00 UTC;"[""Insert Fine Notification""]"
145;35;Add penalty;2007-10-26 22:00:00 UTC;"[""Add penalty""]"
146;35;Send for Credit Collection;2009-03-29 22:00:00 UTC;"[""Send for Credit Collection""]"
147;36;Create Fine;2007-03-06 23:00:00 UTC;"[""541""]"
148;36;Send Fine;2007-07-16 22:00:00 UTC;"[""Send Fine""]"
149;37;Create Fine;2007-03-06 23:00:00 UTC;"[""541""]"
150;37;Payment;2007-03-16 23:00:00 UTC;"[""Payment""]"
151;38;Create Fine;2007-03-07 23:00:00 UTC;"[""541""]"
152;38;Payment;2007-04-17 22:00:00 UTC;"[""Payment""]"
153;39;Create Fine;2006-08-07 22:00:00 UTC;"[""550""]"
154;39;Payment;2006-09-11 22:00:00 UTC;"[""Payment""]"
155;40;Create Fine;2007-03-07 23:00:00 UTC;"[""541""]"
156;40;Payment;2007-03-12 23:00:00 UTC;"[""Payment""]"
157;41;Create Fine;2007-03-07 23:00:00 UTC;"[""541""]"
158;41;Send Fine;2007-07-16 22:00:00 UTC;"[""Send Fine""]"
