case_id;activity;timestamp;source
0;Create Fine;2006-07-23 22:00:00 UTC;["561"]
0;Send Fine;2006-12-04 23:00:00 UTC;["Send Fine"]
1;Create Fine;2006-08-01 22:00:00 UTC;["561"]
1;Send Fine;2006-12-11 23:00:00 UTC;["Send Fine"]
1;Insert Fine Notification;2007-01-14 23:00:00 UTC;["Insert Fine Notification"]
1;Add penalty;2007-03-15 23:00:00 UTC;["Add penalty"]
1;Send for Credit Collection;2009-03-29 22:00:00 UTC;["Send for Credit Collection"]
2;Create Fine;2007-03-08 23:00:00 UTC;["561"]
2;Send Fine;2007-07-16 22:00:00 UTC;["Send Fine"]
2;Insert Fine Notification;2007-08-01 22:00:00 UTC;["Insert Fine Notification"]
2;Add penalty;2007-09-30 22:00:00 UTC;["Add penalty"]
2;Payment;2008-09-08 22:00:00 UTC;["Payment"]
3;Create Fine;2007-03-18 23:00:00 UTC;["537"]
3;Send Fine;2007-07-16 22:00:00 UTC;["Send Fine"]
3;Insert Fine Notification;2007-07-24 22:00:00 UTC;["Insert Fine Notification"]
3;Insert Date Appeal to Prefecture;2007-08-01 22:00:00 UTC;["Insert Date Appeal to Prefecture"]
3;Add penalty;2007-09-22 22:00:00 UTC;["Add penalty"]
3;Send Appeal to Prefecture;2007-09-23 22:00:00 UTC;["Send Appeal to Prefecture"]
4;Create Fine;2007-03-19 23:00:00 UTC;["537"]
4;Send Fine;2007-07-16 22:00:00 UTC;["Send Fine"]
4;Insert Fine Notification;2007-07-23 22:00:00 UTC;["Insert Fine Notification"]
4;Add penalty;2007-09-21 22:00:00 UTC;["Add penalty"]
4;Send for Credit Collection;2009-03-29 22:00:00 UTC;["Send for Credit Collection"]
5;Create Fine;2007-03-19 23:00:00 UTC;["537"]
5;Payment;2007-03-20 23:00:00 UTC;["Payment"]
6;Create Fine;2007-03-19 23:00:00 UTC;["537"]
6;Payment;2007-03-22 23:00:00 UTC;["Payment"]
7;Create Fine;2007-03-19 23:00:00 UTC;["537"]
7;Send Fine;2007-07-16 22:00:00 UTC;["Send Fine"]
7;Insert Fine Notification;2007-08-01 22:00:00 UTC;["Insert Fine Notification"]
7;Add penalty;2007-09-30 22:00:00 UTC;["Add penalty"]
7;Send for Credit Collection;2009-03-29 22:00:00 UTC;["Send for Credit Collection"]
8;Create Fine;2007-03-19 23:00:00 UTC;["537"]
8;Send Fine;2007-07-16 22:00:00 UTC;["Send Fine"]
8;Insert Fine Notification;2007-07-22 22:00:00 UTC;["Insert Fine Notification"]
8;Add penalty;2007-09-20 22:00:00 UTC;["Add penalty"]
8;Payment;2007-09-30 22:00:00 UTC;["Payment"]
8;Payment;2007-10-30 23:00:00 UTC;["Payment"]
9;Create Fine;2006-08-01 22:00:00 UTC;["550"]
9;Send Fine;2006-12-11 23:00:00 UTC;["Send Fine"]
