case_id;activity;timestamp;source
4;Start;2012-11-30 23:10:10 UTC;["[\"Start\"]"]
4;Start;2012-11-30 23:10:10 UTC;["[\"Start\"]"]
4;washing;2012-11-30 23:10:20 UTC;["[\"washing\"]"]
4;washing;2012-11-30 23:11:26 UTC;["[\"washing\"]"]
4;toilet;2012-11-30 23:15:14 UTC;["[\"toilet\"]"]
4;toilet;2012-11-30 23:16:11 UTC;["[\"toilet\"]"]
4;washing;2012-11-30 23:16:18 UTC;["[\"washing\"]"]
4;washing;2012-11-30 23:16:21 UTC;["[\"washing\"]"]
4;sleeping;2012-11-30 23:18:00 UTC;["[\"sleeping\"]"]
4;sleeping;2012-12-01 08:40:43 UTC;["[\"sleeping\"]"]
4;toilet;2012-12-01 08:46:39 UTC;["[\"toilet\"]"]
4;toilet;2012-12-01 08:48:57 UTC;["[\"toilet\"]"]
4;prepareBreakfast;2012-12-01 08:50:13 UTC;["[\"prepareBreakfast\"]"]
4;prepareBreakfast;2012-12-01 09:00:45 UTC;["[\"prepareBreakfast\"]"]
4;washing;2012-12-01 09:34:30 UTC;["[\"washing\"]"]
4;washing;2012-12-01 09:36:56 UTC;["[\"washing\"]"]
4;washing;2012-12-01 09:45:29 UTC;["[\"washing\"]"]
4;washing;2012-12-01 09:48:03 UTC;["[\"washing\"]"]
4;washing;2012-12-01 09:54:06 UTC;["[\"washing\"]"]
4;washing;2012-12-01 09:54:10 UTC;["[\"washing\"]"]
4;toilet;2012-12-01 11:52:11 UTC;["[\"toilet\"]"]
4;toilet;2012-12-01 12:20:19 UTC;["[\"toilet\"]"]
4;toilet;2012-12-01 17:52:00 UTC;["[\"toilet\"]"]
4;toilet;2012-12-01 17:52:17 UTC;["[\"toilet\"]"]
4;watchingtv;2012-12-01 17:53:45 UTC;["[\"watchingtv\"]"]
4;watchingtv;2012-12-01 20:08:17 UTC;["[\"watchingtv\"]"]
4;washing;2012-12-01 20:10:04 UTC;["[\"washing\"]"]
4;washing;2012-12-01 20:10:08 UTC;["[\"washing\"]"]
4;End;2012-12-02 00:30:24 UTC;["[\"End\"]"]
4;End;2012-12-02 00:30:24 UTC;["[\"End\"]"]
5;Start;2012-12-02 00:32:33 UTC;["[\"Start\"]"]
5;Start;2012-12-02 00:32:33 UTC;["[\"Start\"]"]
5;washing;2012-12-02 00:32:33 UTC;["[\"washing\"]"]
5;washing;2012-12-02 00:33:50 UTC;["[\"washing\"]"]
5;toilet;2012-12-02 00:38:38 UTC;["[\"toilet\"]"]
5;toilet;2012-12-02 00:39:35 UTC;["[\"toilet\"]"]
5;sleeping;2012-12-02 00:41:02 UTC;["[\"sleeping\"]"]
5;sleeping;2012-12-02 08:20:15 UTC;["[\"sleeping\"]"]
5;toilet;2012-12-02 08:25:11 UTC;["[\"toilet\"]"]
5;toilet;2012-12-02 08:25:39 UTC;["[\"toilet\"]"]
5;sleeping;2012-12-02 09:16:06 UTC;["[\"sleeping\"]"]
5;sleeping;2012-12-02 09:16:09 UTC;["[\"sleeping\"]"]
5;toilet;2012-12-02 09:20:06 UTC;["[\"toilet\"]"]
5;toilet;2012-12-02 09:24:39 UTC;["[\"toilet\"]"]
5;prepareBreakfast;2012-12-02 09:26:32 UTC;["[\"prepareBreakfast\"]"]
5;eatingBreakfast;2012-12-02 09:29:50 UTC;["[\"eatingBreakfast\"]"]
5;prepareBreakfast;2012-12-02 10:29:44 UTC;["[\"prepareBreakfast\"]"]
5;eatingBreakfast;2012-12-02 10:33:44 UTC;["[\"eatingBreakfast\"]"]
5;toilet;2012-12-02 10:34:31 UTC;["[\"toilet\"]"]
5;toilet;2012-12-02 10:35:52 UTC;["[\"toilet\"]"]
5;washing;2012-12-02 10:35:58 UTC;["[\"washing\"]"]
5;washing;2012-12-02 10:49:33 UTC;["[\"washing\"]"]
5;washing;2012-12-02 10:53:47 UTC;["[\"washing\"]"]
5;washing;2012-12-02 10:53:59 UTC;["[\"washing\"]"]
5;outdoors;2012-12-02 12:37:04 UTC;["[\"outdoors\"]"]
5;outdoors;2012-12-02 13:57:07 UTC;["[\"outdoors\"]"]
5;watchingtv;2012-12-02 16:10:38 UTC;["[\"watchingtv\"]"]
5;watchingtv;2012-12-02 17:45:10 UTC;["[\"watchingtv\"]"]
5;toilet;2012-12-02 17:46:49 UTC;["[\"toilet\"]"]
5;toilet;2012-12-02 18:15:49 UTC;["[\"toilet\"]"]
5;watchingtv;2012-12-02 18:16:04 UTC;["[\"watchingtv\"]"]
5;watchingtv;2012-12-02 19:28:51 UTC;["[\"watchingtv\"]"]
5;washing;2012-12-02 19:29:33 UTC;["[\"washing\"]"]
5;washing;2012-12-02 19:29:37 UTC;["[\"washing\"]"]
5;watchingtv;2012-12-02 19:41:25 UTC;["[\"watchingtv\"]"]
5;End;2012-12-03 00:03:12 UTC;["[\"End\"]"]
5;watchingtv;2012-12-03 00:03:12 UTC;["[\"watchingtv\"]"]
5;End;2012-12-03 00:03:12 UTC;["[\"End\"]"]
