;case_id;activity;timestamp;source
0;1;toilet;2011-06-17;"[""[\""toilet\""]""]"
1;1;toilet;2011-06-17;"[""[\""toilet\""]""]"
2;1;sleep;2011-06-17;"[""[\""sleep\""]""]"
3;1;sleep;2011-06-17;"[""[\""sleep\""]""]"
4;1;snack;2011-06-17;"[""[\""snack\""]""]"
5;1;snack;2011-06-17;"[""[\""snack\""]""]"
6;1;relax;2011-06-17;"[""[\""relax\""]""]"
7;1;relax;2011-06-17;"[""[\""relax\""]""]"
8;1;mealpreperation;2011-06-17;"[""[\""mealpreperation\""]""]"
9;1;mealpreperation;2011-06-17;"[""[\""mealpreperation\""]""]"
10;1;bathe;2011-06-17;"[""[\""bathe\""]""]"
11;1;bathe;2011-06-17;"[""[\""bathe\""]""]"
12;1;dress;2011-06-17;"[""[\""dress\""]""]"
13;1;personalhygiene;2011-06-17;"[""[\""personalhygiene\""]""]"
14;1;personalhygiene;2011-06-17;"[""[\""personalhygiene\""]""]"
15;1;outdoors;2011-06-17;"[""[\""outdoors\""]""]"
16;1;outdoors;2011-06-17;"[""[\""outdoors\""]""]"
17;1;snack;2011-06-17;"[""[\""snack\""]""]"
18;1;snack;2011-06-17;"[""[\""snack\""]""]"
19;1;mealpreperation;2011-06-17;"[""[\""mealpreperation\""]""]"
20;1;mealpreperation;2011-06-17;"[""[\""mealpreperation\""]""]"
21;1;eatingdrinking;2011-06-17;"[""[\""eatingdrinking\""]""]"
22;1;eatingdrinking;2011-06-17;"[""[\""eatingdrinking\""]""]"
23;1;cleaning;2011-06-17;"[""[\""cleaning\""]""]"
24;1;cleaning;2011-06-17;"[""[\""cleaning\""]""]"
25;1;sleep;2011-06-17;"[""[\""sleep\""]""]"
26;1;sleep;2011-06-17;"[""[\""sleep\""]""]"
27;1;toilet;2011-06-17;"[""[\""toilet\""]""]"
28;1;toilet;2011-06-17;"[""[\""toilet\""]""]"
29;1;outdoors;2011-06-17;"[""[\""outdoors\""]""]"
30;1;outdoors;2011-06-17;"[""[\""outdoors\""]""]"
31;1;snack;2011-06-17;"[""[\""snack\""]""]"
32;1;snack;2011-06-17;"[""[\""snack\""]""]"
33;1;relax;2011-06-17;"[""[\""relax\""]""]"
34;1;relax;2011-06-17;"[""[\""relax\""]""]"
35;1;outdoors;2011-06-17;"[""[\""outdoors\""]""]"
36;1;outdoors;2011-06-17;"[""[\""outdoors\""]""]"
37;1;snack;2011-06-17;"[""[\""snack\""]""]"
38;1;snack;2011-06-17;"[""[\""snack\""]""]"
39;1;relax;2011-06-17;"[""[\""relax\""]""]"
40;1;relax;2011-06-17;"[""[\""relax\""]""]"
41;1;cleaning;2011-06-17;"[""[\""cleaning\""]""]"
42;1;cleaning;2011-06-17;"[""[\""cleaning\""]""]"
43;1;snack;2011-06-17;"[""[\""snack\""]""]"
44;1;snack;2011-06-17;"[""[\""snack\""]""]"
45;1;snack;2011-06-17;"[""[\""snack\""]""]"
46;1;snack;2011-06-17;"[""[\""snack\""]""]"
47;1;relax;2011-06-17;"[""[\""relax\""]""]"
48;1;relax;2011-06-17;"[""[\""relax\""]""]"
49;1;personalhygiene;2011-06-17;"[""[\""personalhygiene\""]""]"
50;1;personalhygiene;2011-06-17;"[""[\""personalhygiene\""]""]"
51;1;sleep;2011-06-17;"[""[\""sleep\""]""]"
52;1;End;2011-06-18;"[""[\""End\""]""]"
53;1;sleep;2011-06-18;"[""[\""sleep\""]""]"
54;1;End;2011-06-18;"[""[\""End\""]""]"
55;2;toilet;2011-06-18;"[""[\""toilet\""]""]"
56;2;Start;2011-06-18;"[""[\""Start\""]""]"
57;2;Start;2011-06-18;"[""[\""Start\""]""]"
58;2;toilet;2011-06-18;"[""[\""toilet\""]""]"
59;2;sleep;2011-06-18;"[""[\""sleep\""]""]"
60;2;sleep;2011-06-18;"[""[\""sleep\""]""]"
61;2;sleep;2011-06-18;"[""[\""sleep\""]""]"
62;2;sleep;2011-06-18;"[""[\""sleep\""]""]"
63;2;toilet;2011-06-18;"[""[\""toilet\""]""]"
64;2;toilet;2011-06-18;"[""[\""toilet\""]""]"
65;2;mealpreperation;2011-06-18;"[""[\""mealpreperation\""]""]"
66;2;mealpreperation;2011-06-18;"[""[\""mealpreperation\""]""]"
