;case_id;activity;timestamp;source
0;0;sleep;2011-06-17;"[""[\""sleep\""]""]"
1;1;sleep;2011-06-17;"[""[\""sleep\""]""]"
2;1;sleep;2011-06-18;"[""[\""sleep\""]""]"
3;2;sleep;2011-06-18;"[""[\""sleep\""]""]"
4;3;sleep;2011-06-22;"[""[\""sleep\""]""]"
5;4;sleep;2011-06-22;"[""[\""sleep\""]""]"
6;4;sleep;2011-06-23;"[""[\""sleep\""]""]"
7;5;sleep;2011-06-23;"[""[\""sleep\""]""]"
8;6;sleep;2011-06-25;"[""[\""sleep\""]""]"
9;7;sleep;2011-06-25;"[""[\""sleep\""]""]"
10;8;sleep;2011-06-29;"[""[\""sleep\""]""]"
11;9;sleep;2011-06-29;"[""[\""sleep\""]""]"
12;9;sleep;2011-06-30;"[""[\""sleep\""]""]"
13;10;sleep;2011-06-30;"[""[\""sleep\""]""]"
14;10;sleep;2011-07-01;"[""[\""sleep\""]""]"
15;11;sleep;2011-07-01;"[""[\""sleep\""]""]"
16;11;sleep;2011-07-02;"[""[\""sleep\""]""]"
17;12;sleep;2011-07-02;"[""[\""sleep\""]""]"
18;13;sleep;2011-07-06;"[""[\""sleep\""]""]"
19;14;sleep;2011-07-06;"[""[\""sleep\""]""]"
20;14;sleep;2011-07-07;"[""[\""sleep\""]""]"
21;15;sleep;2011-07-07;"[""[\""sleep\""]""]"
22;15;sleep;2011-07-08;"[""[\""sleep\""]""]"
23;16;sleep;2011-07-08;"[""[\""sleep\""]""]"
24;16;sleep;2011-07-09;"[""[\""sleep\""]""]"
25;17;sleep;2011-07-09;"[""[\""sleep\""]""]"
