case_id;activity;timestamp;source
0;Start;2011-06-14 22:33:36 UTC;["[\"Start\"]"]
0;Start;2011-06-14 22:33:36 UTC;["[\"Start\"]"]
0;personalhygiene;2011-06-14 22:33:36 UTC;["[\"personalhygiene\"]"]
0;personalhygiene;2011-06-14 22:38:44 UTC;["[\"personalhygiene\"]"]
0;sleep;2011-06-14 22:45:24 UTC;["[\"sleep\"]"]
0;sleep;2011-06-14 22:46:08 UTC;["[\"sleep\"]"]
0;toilet;2011-06-14 22:46:33 UTC;["[\"toilet\"]"]
0;toilet;2011-06-15 00:40:14 UTC;["[\"toilet\"]"]
0;sleep;2011-06-15 04:49:58 UTC;["[\"sleep\"]"]
0;sleep;2011-06-15 04:53:46 UTC;["[\"sleep\"]"]
0;eatingdrinking;2011-06-15 05:11:45 UTC;["[\"eatingdrinking\"]"]
0;eatingdrinking;2011-06-15 05:23:08 UTC;["[\"eatingdrinking\"]"]
0;cleaning;2011-06-15 05:37:34 UTC;["[\"cleaning\"]"]
0;cleaning;2011-06-15 05:38:35 UTC;["[\"cleaning\"]"]
0;dress;2011-06-15 05:39:03 UTC;["[\"dress\"]"]
0;dress;2011-06-15 05:58:09 UTC;["[\"dress\"]"]
0;watchtv;2011-06-15 05:59:48 UTC;["[\"watchtv\"]"]
0;watchtv;2011-06-15 06:50:24 UTC;["[\"watchtv\"]"]
0;outdoors;2011-06-15 06:53:04 UTC;["[\"outdoors\"]"]
0;outdoors;2011-06-15 07:22:27 UTC;["[\"outdoors\"]"]
0;watchtv;2011-06-15 07:23:24 UTC;["[\"watchtv\"]"]
0;watchtv;2011-06-15 08:10:35 UTC;["[\"watchtv\"]"]
0;snack;2011-06-15 08:12:02 UTC;["[\"snack\"]"]
0;snack;2011-06-15 08:25:09 UTC;["[\"snack\"]"]
0;work;2011-06-15 08:25:32 UTC;["[\"work\"]"]
0;work;2011-06-15 08:49:08 UTC;["[\"work\"]"]
0;outdoors;2011-06-15 08:51:11 UTC;["[\"outdoors\"]"]
0;outdoors;2011-06-15 11:39:39 UTC;["[\"outdoors\"]"]
0;work;2011-06-15 11:46:37 UTC;["[\"work\"]"]
0;work;2011-06-15 12:15:07 UTC;["[\"work\"]"]
0;watchtv;2011-06-15 12:15:34 UTC;["[\"watchtv\"]"]
0;watchtv;2011-06-15 13:01:35 UTC;["[\"watchtv\"]"]
0;sleep;2011-06-15 13:02:01 UTC;["[\"sleep\"]"]
0;sleep;2011-06-15 13:14:38 UTC;["[\"sleep\"]"]
0;snack;2011-06-15 13:16:06 UTC;["[\"snack\"]"]
0;snack;2011-06-15 13:18:18 UTC;["[\"snack\"]"]
0;dress;2011-06-15 13:18:28 UTC;["[\"dress\"]"]
0;dress;2011-06-15 13:55:12 UTC;["[\"dress\"]"]
0;outdoors;2011-06-15 13:57:05 UTC;["[\"outdoors\"]"]
0;outdoors;2011-06-15 14:16:27 UTC;["[\"outdoors\"]"]
0;mealpreperation;2011-06-15 14:16:33 UTC;["[\"mealpreperation\"]"]
0;mealpreperation;2011-06-15 14:18:52 UTC;["[\"mealpreperation\"]"]
0;watchtv;2011-06-15 14:22:45 UTC;["[\"watchtv\"]"]
0;watchtv;2011-06-15 14:27:37 UTC;["[\"watchtv\"]"]
0;outdoors;2011-06-15 14:28:17 UTC;["[\"outdoors\"]"]
0;outdoors;2011-06-15 14:45:06 UTC;["[\"outdoors\"]"]
0;watchtv;2011-06-15 14:46:44 UTC;["[\"watchtv\"]"]
0;watchtv;2011-06-15 14:56:22 UTC;["[\"watchtv\"]"]
0;outdoors;2011-06-15 14:56:39 UTC;["[\"outdoors\"]"]
0;outdoors;2011-06-15 16:16:57 UTC;["[\"outdoors\"]"]
0;watchtv;2011-06-15 16:17:09 UTC;["[\"watchtv\"]"]
0;watchtv;2011-06-15 20:31:38 UTC;["[\"watchtv\"]"]
0;eatingdrinking;2011-06-15 20:33:24 UTC;["[\"eatingdrinking\"]"]
0;eatingdrinking;2011-06-15 20:38:31 UTC;["[\"eatingdrinking\"]"]
0;dress;2011-06-15 20:38:57 UTC;["[\"dress\"]"]
0;End;2011-06-15 22:35:21 UTC;["[\"End\"]"]
0;End;2011-06-15 22:35:21 UTC;["[\"End\"]"]
0;dress;2011-06-15 22:35:21 UTC;["[\"dress\"]"]
1;Start;2011-06-15 22:35:54 UTC;["[\"Start\"]"]
1;Start;2011-06-15 22:35:54 UTC;["[\"Start\"]"]
1;cleaning;2011-06-15 22:35:54 UTC;["[\"cleaning\"]"]
1;cleaning;2011-06-15 22:38:10 UTC;["[\"cleaning\"]"]
1;watchtv;2011-06-15 22:38:49 UTC;["[\"watchtv\"]"]
1;watchtv;2011-06-16 02:35:38 UTC;["[\"watchtv\"]"]
1;sleep;2011-06-16 02:35:39 UTC;["[\"sleep\"]"]
1;sleep;2011-06-16 04:29:02 UTC;["[\"sleep\"]"]
1;watchtv;2011-06-16 04:29:50 UTC;["[\"watchtv\"]"]
1;watchtv;2011-06-16 04:30:48 UTC;["[\"watchtv\"]"]
1;toilet;2011-06-16 04:31:41 UTC;["[\"toilet\"]"]
1;toilet;2011-06-16 04:46:21 UTC;["[\"toilet\"]"]
1;sleep;2011-06-16 04:46:50 UTC;["[\"sleep\"]"]
1;sleep;2011-06-16 06:39:19 UTC;["[\"sleep\"]"]
1;work;2011-06-16 06:40:15 UTC;["[\"work\"]"]
1;work;2011-06-16 09:25:24 UTC;["[\"work\"]"]
1;dress;2011-06-16 09:25:48 UTC;["[\"dress\"]"]
1;dress;2011-06-16 09:27:35 UTC;["[\"dress\"]"]
1;work;2011-06-16 09:27:48 UTC;["[\"work\"]"]
1;work;2011-06-16 09:38:11 UTC;["[\"work\"]"]
1;mealpreperation;2011-06-16 09:41:39 UTC;["[\"mealpreperation\"]"]
1;mealpreperation;2011-06-16 09:43:21 UTC;["[\"mealpreperation\"]"]
1;eatingdrinking;2011-06-16 09:43:27 UTC;["[\"eatingdrinking\"]"]
1;eatingdrinking;2011-06-16 09:45:41 UTC;["[\"eatingdrinking\"]"]
1;medication;2011-06-16 09:45:43 UTC;["[\"medication\"]"]
1;medication;2011-06-16 09:49:16 UTC;["[\"medication\"]"]
1;groom;2011-06-16 09:49:32 UTC;["[\"groom\"]"]
1;groom;2011-06-16 10:03:19 UTC;["[\"groom\"]"]
