case_id;activity;timestamp;source
18;sleep;2011-07-11 23:01:50 UTC;["[\"sleep\"]"]
19;sleep;2011-07-11 23:13:39 UTC;["[\"sleep\"]"]
19;sleep;2011-07-12 00:52:47 UTC;["[\"sleep\"]"]
19;sleep;2011-07-12 02:07:07 UTC;["[\"sleep\"]"]
19;sleep;2011-07-12 02:07:08 UTC;["[\"sleep\"]"]
19;sleep;2011-07-12 04:07:13 UTC;["[\"sleep\"]"]
19;sleep;2011-07-12 04:07:21 UTC;["[\"sleep\"]"]
19;sleep;2011-07-12 06:11:51 UTC;["[\"sleep\"]"]
19;sleep;2011-07-12 06:11:52 UTC;["[\"sleep\"]"]
19;sleep;2011-07-12 20:59:00 UTC;["[\"sleep\"]"]
19;sleep;2011-07-12 22:40:21 UTC;["[\"sleep\"]"]
20;sleep;2011-07-12 22:58:03 UTC;["[\"sleep\"]"]
38;sleep;2011-08-08 23:29:35 UTC;["[\"sleep\"]"]
39;sleep;2011-08-08 23:37:17 UTC;["[\"sleep\"]"]
39;sleep;2011-08-09 00:27:11 UTC;["[\"sleep\"]"]
39;sleep;2011-08-09 00:36:10 UTC;["[\"sleep\"]"]
39;sleep;2011-08-09 00:53:26 UTC;["[\"sleep\"]"]
39;sleep;2011-08-09 01:11:17 UTC;["[\"sleep\"]"]
39;sleep;2011-08-09 03:04:08 UTC;["[\"sleep\"]"]
39;sleep;2011-08-09 03:20:24 UTC;["[\"sleep\"]"]
39;sleep;2011-08-09 05:08:09 UTC;["[\"sleep\"]"]
39;sleep;2011-08-09 05:19:51 UTC;["[\"sleep\"]"]
39;sleep;2011-08-09 06:25:43 UTC;["[\"sleep\"]"]
39;sleep;2011-08-09 06:34:06 UTC;["[\"sleep\"]"]
39;sleep;2011-08-09 07:20:57 UTC;["[\"sleep\"]"]
39;sleep;2011-08-09 10:02:38 UTC;["[\"sleep\"]"]
39;sleep;2011-08-09 10:24:15 UTC;["[\"sleep\"]"]
39;sleep;2011-08-09 20:12:34 UTC;["[\"sleep\"]"]
39;sleep;2011-08-09 21:21:41 UTC;["[\"sleep\"]"]
39;sleep;2011-08-09 21:57:34 UTC;["[\"sleep\"]"]
39;sleep;2011-08-09 21:57:59 UTC;["[\"sleep\"]"]
40;sleep;2011-08-09 23:13:38 UTC;["[\"sleep\"]"]
40;sleep;2011-08-09 23:13:59 UTC;["[\"sleep\"]"]
40;sleep;2011-08-09 23:22:50 UTC;["[\"sleep\"]"]
40;sleep;2011-08-10 23:12:43 UTC;["[\"sleep\"]"]
41;sleep;2011-08-10 23:20:16 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 00:02:21 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 00:18:14 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 02:07:29 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 02:23:58 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 04:10:26 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 04:26:05 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 06:16:27 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 06:26:04 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 07:26:48 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 09:59:03 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 10:00:22 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 12:00:07 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 12:55:55 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 15:31:24 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 15:31:27 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 18:00:33 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 18:56:16 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 18:58:49 UTC;["[\"sleep\"]"]
41;sleep;2011-08-11 20:27:05 UTC;["[\"sleep\"]"]
42;sleep;2011-08-11 22:39:59 UTC;["[\"sleep\"]"]
42;sleep;2011-08-11 22:59:50 UTC;["[\"sleep\"]"]
42;sleep;2011-08-11 23:07:37 UTC;["[\"sleep\"]"]
