case_id;activity;timestamp;source
6;toilet;2011-07-09 21:15:05 UTC;["[\"toilet\"]"]
6;sleep;2011-07-09 21:19:22 UTC;["[\"sleep\"]"]
6;toilet;2011-07-09 21:19:29 UTC;["[\"toilet\"]"]
6;toilet;2011-07-09 21:20:08 UTC;["[\"toilet\"]"]
7;toilet;2011-07-09 22:11:39 UTC;["[\"toilet\"]"]
7;toilet;2011-07-09 22:16:27 UTC;["[\"toilet\"]"]
7;sleep;2011-07-09 22:16:30 UTC;["[\"sleep\"]"]
10;sleep;2011-07-23 22:37:30 UTC;["[\"sleep\"]"]
11;sleep;2011-07-23 22:42:02 UTC;["[\"sleep\"]"]
12;toilet;2011-07-30 21:17:06 UTC;["[\"toilet\"]"]
12;toilet;2011-07-30 21:17:14 UTC;["[\"toilet\"]"]
12;toilet;2011-07-30 21:37:42 UTC;["[\"toilet\"]"]
12;toilet;2011-07-30 21:37:42 UTC;["[\"toilet\"]"]
13;toilet;2011-07-30 22:16:48 UTC;["[\"toilet\"]"]
13;toilet;2011-07-30 22:19:17 UTC;["[\"toilet\"]"]
14;toilet;2011-08-06 21:23:59 UTC;["[\"toilet\"]"]
14;toilet;2011-08-06 21:24:02 UTC;["[\"toilet\"]"]
14;sleep;2011-08-06 21:24:08 UTC;["[\"sleep\"]"]
14;sleep;2011-08-06 22:13:47 UTC;["[\"sleep\"]"]
15;toilet;2011-08-06 22:14:01 UTC;["[\"toilet\"]"]
15;toilet;2011-08-06 22:19:28 UTC;["[\"toilet\"]"]
15;sleep;2011-08-06 22:19:29 UTC;["[\"sleep\"]"]
16;toilet;2011-08-13 21:51:20 UTC;["[\"toilet\"]"]
16;toilet;2011-08-13 21:56:41 UTC;["[\"toilet\"]"]
16;sleep;2011-08-13 22:47:43 UTC;["[\"sleep\"]"]
17;toilet;2011-08-13 22:47:44 UTC;["[\"toilet\"]"]
17;toilet;2011-08-13 22:55:02 UTC;["[\"toilet\"]"]
17;sleep;2011-08-13 23:30:54 UTC;["[\"sleep\"]"]
17;sleep;2011-08-13 23:31:12 UTC;["[\"sleep\"]"]
