case_id;activity;timestamp;source
1;toilet;2011-06-15 22:54:09 UTC;["[\"toilet\"]"]
1;Start;2011-06-15 22:54:09 UTC;["[\"Start\"]"]
1;Start;2011-06-15 22:54:09 UTC;["[\"Start\"]"]
1;toilet;2011-06-15 22:59:50 UTC;["[\"toilet\"]"]
1;sleep;2011-06-15 22:59:55 UTC;["[\"sleep\"]"]
1;sleep;2011-06-16 02:40:58 UTC;["[\"sleep\"]"]
1;toilet;2011-06-16 02:41:09 UTC;["[\"toilet\"]"]
1;toilet;2011-06-16 02:42:42 UTC;["[\"toilet\"]"]
1;sleep;2011-06-16 02:42:57 UTC;["[\"sleep\"]"]
1;sleep;2011-06-16 05:15:54 UTC;["[\"sleep\"]"]
1;toilet;2011-06-16 05:16:04 UTC;["[\"toilet\"]"]
1;toilet;2011-06-16 05:17:55 UTC;["[\"toilet\"]"]
1;sleep;2011-06-16 05:18:13 UTC;["[\"sleep\"]"]
1;sleep;2011-06-16 06:04:25 UTC;["[\"sleep\"]"]
1;bathe;2011-06-16 06:05:08 UTC;["[\"bathe\"]"]
1;bathe;2011-06-16 06:10:30 UTC;["[\"bathe\"]"]
1;groom;2011-06-16 06:21:42 UTC;["[\"groom\"]"]
1;groom;2011-06-16 06:23:31 UTC;["[\"groom\"]"]
1;medication;2011-06-16 06:45:53 UTC;["[\"medication\"]"]
1;medication;2011-06-16 06:54:25 UTC;["[\"medication\"]"]
1;mealpreperation;2011-06-16 06:54:37 UTC;["[\"mealpreperation\"]"]
1;work;2011-06-16 07:36:03 UTC;["[\"work\"]"]
1;work;2011-06-16 07:45:45 UTC;["[\"work\"]"]
1;relax;2011-06-16 07:46:47 UTC;["[\"relax\"]"]
1;relax;2011-06-16 09:12:06 UTC;["[\"relax\"]"]
1;toilet;2011-06-16 09:12:09 UTC;["[\"toilet\"]"]
1;toilet;2011-06-16 09:14:50 UTC;["[\"toilet\"]"]
1;work;2011-06-16 09:26:53 UTC;["[\"work\"]"]
1;work;2011-06-16 09:42:50 UTC;["[\"work\"]"]
1;outdoors;2011-06-16 09:51:13 UTC;["[\"outdoors\"]"]
1;outdoors;2011-06-16 11:56:50 UTC;["[\"outdoors\"]"]
1;medication;2011-06-16 11:57:15 UTC;["[\"medication\"]"]
1;medication;2011-06-16 12:02:02 UTC;["[\"medication\"]"]
1;relax;2011-06-16 12:12:38 UTC;["[\"relax\"]"]
1;relax;2011-06-16 13:04:01 UTC;["[\"relax\"]"]
1;outdoors;2011-06-16 13:09:28 UTC;["[\"outdoors\"]"]
1;outdoors;2011-06-16 14:27:42 UTC;["[\"outdoors\"]"]
1;toilet;2011-06-16 14:36:46 UTC;["[\"toilet\"]"]
1;toilet;2011-06-16 14:37:31 UTC;["[\"toilet\"]"]
1;toilet;2011-06-16 14:56:16 UTC;["[\"toilet\"]"]
1;toilet;2011-06-16 15:13:31 UTC;["[\"toilet\"]"]
1;outdoors;2011-06-16 15:15:48 UTC;["[\"outdoors\"]"]
1;outdoors;2011-06-16 16:13:32 UTC;["[\"outdoors\"]"]
1;relax;2011-06-16 16:14:28 UTC;["[\"relax\"]"]
1;relax;2011-06-16 16:45:01 UTC;["[\"relax\"]"]
1;toilet;2011-06-16 16:45:04 UTC;["[\"toilet\"]"]
1;toilet;2011-06-16 16:46:38 UTC;["[\"toilet\"]"]
1;outdoors;2011-06-16 16:47:19 UTC;["[\"outdoors\"]"]
1;sleep;2011-06-16 21:27:26 UTC;["[\"sleep\"]"]
1;sleep;2011-06-16 22:10:47 UTC;["[\"sleep\"]"]
1;End;2011-06-16 22:10:47 UTC;["[\"End\"]"]
1;End;2011-06-16 22:10:47 UTC;["[\"End\"]"]
2;Start;2011-06-16 22:17:39 UTC;["[\"Start\"]"]
2;Start;2011-06-16 22:17:39 UTC;["[\"Start\"]"]
2;toilet;2011-06-16 22:17:39 UTC;["[\"toilet\"]"]
2;toilet;2011-06-16 23:53:20 UTC;["[\"toilet\"]"]
2;sleep;2011-06-16 23:53:22 UTC;["[\"sleep\"]"]
2;sleep;2011-06-17 03:19:24 UTC;["[\"sleep\"]"]
2;toilet;2011-06-17 03:19:26 UTC;["[\"toilet\"]"]
2;toilet;2011-06-17 03:21:22 UTC;["[\"toilet\"]"]
2;sleep;2011-06-17 05:43:32 UTC;["[\"sleep\"]"]
2;sleep;2011-06-17 05:43:33 UTC;["[\"sleep\"]"]
2;toilet;2011-06-17 05:45:52 UTC;["[\"toilet\"]"]
2;toilet;2011-06-17 05:45:53 UTC;["[\"toilet\"]"]
2;sleep;2011-06-17 07:01:33 UTC;["[\"sleep\"]"]
2;sleep;2011-06-17 07:01:34 UTC;["[\"sleep\"]"]
2;toilet;2011-06-17 07:10:20 UTC;["[\"toilet\"]"]
2;toilet;2011-06-17 07:11:06 UTC;["[\"toilet\"]"]
2;medication;2011-06-17 07:25:52 UTC;["[\"medication\"]"]
2;medication;2011-06-17 07:25:54 UTC;["[\"medication\"]"]
2;mealpreperation;2011-06-17 07:37:17 UTC;["[\"mealpreperation\"]"]
2;mealpreperation;2011-06-17 07:37:21 UTC;["[\"mealpreperation\"]"]
2;eatingdrinking;2011-06-17 07:46:11 UTC;["[\"eatingdrinking\"]"]
2;eatingdrinking;2011-06-17 07:54:45 UTC;["[\"eatingdrinking\"]"]
2;outdoors;2011-06-17 07:54:49 UTC;["[\"outdoors\"]"]
2;outdoors;2011-06-17 09:21:17 UTC;["[\"outdoors\"]"]
